KEY INTERACTION DETAIL,n,key_interaction_detail
"Three components of the Reedsport Project represent sources of EMF: the PowerBuoys, the USP, and the subsea transmission cable. In conclusion, the Faraday cages of the PowerBuoy and USP and the metallic sheathing and burying of the project subsea cables will significantly reduce or eliminate E fields from being emitted into the surrounding aquatic environment. Magnetic (B) fields cannot be shielded, and the flow of seawater or organisms through a B field creates a weak electric field (iE field). OPT
 has found no evidence to indicate that magnetic fields negatively affect marine life (Centre for Marine and Coastal Studies 2005; Scott Wilson Ltd. and Downie 2003; Sound & Sea 2002; USACE 2004; Scottish Executive 2007; World Health Organization 2005). However, resource agency staff are concerned that the project differs from traditional sources of anthropogenic EMF in the ocean (underwater power cables). Specifically, agency staff note that instead of a single cable lying on or under the seabed, the proposed project represents 10 PowerBuoys and associated cables running through the entire water column, as well as the multiple cables running along the seabed, converging on the USP. Therefore, instead of a single linear source of EMF, as represented by the subsea cable running from the USP to shore, the proposed project represents a matrix of cables and PowerBuoys spanning the water column and converging on the seabed in the PowerBuoy array area. Resource agencies believe that the potential effects of this unique EMF-generating array should be evaluated in situ and potential effects to identified marine life examined. OPT believes that the proposed EMF Study Plan will allow for the collection of necessary information to evaluate the B fields generated by the project and to confirm that the corresponding E fields are negligible, as anticipated. Comparison of the recorded EMF levels to known thresholds for sensitive species21 will allow for a determination of potential effects, if any, of EMF emitted by the project. Where threshold levels are not available in the literature for species of concern or other surrogates, the Aquatic Resources and Water Quality Committee will be convened to determine appropriate steps through the AMP to understand the effects of the EMF on these species. Also, as part of the Fish and Invertebrates Study, OPT will evaluate if the project affects the local (scale: tens of meters) distribution and abundance of adult Dungeness crab (Appendix C).",3,"Three Components Of The Reedsport Project Represent Sources Of Emf: The Powerbuoys, The Usp, And The Subsea Transmission Cable. In Conclusion, The Faraday Cages Of The Powerbuoy And Usp And The Metallic Sheathing And Burying Of The Project Subsea Cables Will Significantly Reduce Or Eliminate E Fields From Being Emitted Into The Surrounding Aquatic Environment. Magnetic (B) Fields Cannot Be Shielded, And The Flow Of Seawater Or Organisms Through A B Field Creates A Weak Electric Field (Ie Field). Opt
 Has Found No Evidence To Indicate That Magnetic Fields Negatively Affect Marine Life (Centre For Marine And Coastal Studies 2005; Scott Wilson Ltd. And Downie 2003; Sound & Sea 2002; Usace 2004; Scottish Executive 2007; World Health Organization 2005). However, Resource Agency Staff Are Concerned That The Project Differs From Traditional Sources Of Anthropogenic Emf In The Ocean (Underwater Power Cables). Specifically, Agency Staff Note That Instead Of A Single Cable Lying On Or Under The Seabed, The Proposed Project Represents 10 Powerbuoys And Associated Cables Running Through The Entire Water Column, As Well As The Multiple Cables Running Along The Seabed, Converging On The Usp. Therefore, Instead Of A Single Linear Source Of Emf, As Represented By The Subsea Cable Running From The Usp To Shore, The Proposed Project Represents A Matrix Of Cables And Powerbuoys Spanning The Water Column And Converging On The Seabed In The Powerbuoy Array Area. Resource Agencies Believe That The Potential Effects Of This Unique Emf-Generating Array Should Be Evaluated In Situ And Potential Effects To Identified Marine Life Examined. Opt Believes That The Proposed Emf Study Plan Will Allow For The Collection Of Necessary Information To Evaluate The B Fields Generated By The Project And To Confirm That The Corresponding E Fields Are Negligible, As Anticipated. Comparison Of The Recorded Emf Levels To Known Thresholds For Sensitive Species21 Will Allow For A Determination Of Potential Effects, If Any, Of Emf Emitted By The Project. Where Threshold Levels Are Not Available In The Literature For Species Of Concern Or Other Surrogates, The Aquatic Resources And Water Quality Committee Will Be Convened To Determine Appropriate Steps Through The Amp To Understand The Effects Of The Emf On These Species. Also, As Part Of The Fish And Invertebrates Study, Opt Will Evaluate If The Project Affects The Local (Scale: Tens Of Meters) Distribution And Abundance Of Adult Dungeness Crab (Appendix C)."
"To minimize the effects of the Project on commercial and recreational crabbing and fishing, OSU consulted with FINE and other stakeholders as part of the outreach efforts and site selection process (see Section 2.6.1). OSU is also proposing the environmental measures listed above to minimize effects to these groups.",1,"To Minimize The Effects Of The Project On Commercial And Recreational Crabbing And Fishing, Osu Consulted With Fine And Other Stakeholders As Part Of The Outreach Efforts And Site Selection Process (See Section 2.6.1). Osu Is Also Proposing The Environmental Measures Listed Above To Minimize Effects To These Groups."
"VESSEL TRAFFIC: Verdant has recently reestablished the USCG approved exclusion zone and is working with the Ferry operators and other marine vessels operators to ensure they understand the updated NOAA charting of the PATON buoys and avoid the exclusion, but staying in the approved Vessel Transit Area, which has adequate area to safely navigate.",1,"Vessel Traffic: Verdant Has Recently Reestablished The Uscg Approved Exclusion Zone And Is Working With The Ferry Operators And Other Marine Vessels Operators To Ensure They Understand The Updated Noaa Charting Of The Paton Buoys And Avoid The Exclusion, But Staying In The Approved Vessel Transit Area, Which Has Adequate Area To Safely Navigate."
"We ... suspect that because the project’s cables would be similar in size and type to anchoring systems associated with navigation buoys, the potential for collisions and injury (of marine mammals) is low. We found no information that would suggest that navigation buoys have resulted in injury to marine mammals. While there would be an array of 10 such cables at the project compared to a single one associated with a
 navigation buoy, the spacing between the cables (60 feet) should be sufficient for most species to avoid hitting the cables.",1,"We ... Suspect That Because The Project’s Cables Would Be Similar In Size And Type To Anchoring Systems Associated With Navigation Buoys, The Potential For Collisions And Injury (Of Marine Mammals) Is Low. We Found No Information That Would Suggest That Navigation Buoys Have Resulted In Injury To Marine Mammals. While There Would Be An Array Of 10 Such Cables At The Project Compared To A Single One Associated With A
 Navigation Buoy, The Spacing Between The Cables (60 Feet) Should Be Sufficient For Most Species To Avoid Hitting The Cables."
"While there is uncertainty about whether electro‐ and magneto‐sensitive species would be capable of detecting EMF emissions from the WECs, as well as the type and degree of these species’ responses to EMF from WECs, the proportion of a given population that might be exposed to site‐specific EMF generated by the Project is expected to be low for most of these species due to factors such as migratory range and available habitat, and low likelihood of exceeding biologically relevant EMF transmissions from WECs.",4,"While There Is Uncertainty About Whether Electro‐ And Magneto‐Sensitive Species Would Be Capable Of Detecting Emf Emissions From The Wecs, As Well As The Type And Degree Of These Species’ Responses To Emf From Wecs, The Proportion Of A Given Population That Might Be Exposed To Site‐Specific Emf Generated By The Project Is Expected To Be Low For Most Of These Species Due To Factors Such As Migratory Range And Available Habitat, And Low Likelihood Of Exceeding Biologically Relevant Emf Transmissions From Wecs."
"While these and similar assessments do not by themselves document the safety of the Admiralty Inlet Project, they provide a basis for the District’s expectation that marine life will be able to detect and avoid the turbines when operating.",1,"While These And Similar Assessments Do Not By Themselves Document The Safety Of The Admiralty Inlet Project, They Provide A Basis For The District’s Expectation That Marine Life Will Be Able To Detect And Avoid The Turbines When Operating."
WINDOWPANE FLOUNDER,2,Windowpane Flounder
WINTER FLOUNDER,1,Winter Flounder
WINTER SKATE,1,Winter Skate
" Effects of sediment suspension caused by anchor and cable installation on water quality;
 Effects of inadvertent return of drilling fluids; and
 Effects of toxins introduced by the Project on water quality, including:
o Antifouling paint or coatings;
o Accidental spills of fuel, lubricants, and hydraulic oil; and
 Effects of ground disturbing activities",2," Effects Of Sediment Suspension Caused By Anchor And Cable Installation On Water Quality;
 Effects Of Inadvertent Return Of Drilling Fluids; And
 Effects Of Toxins Introduced By The Project On Water Quality, Including:
O Antifouling Paint Or Coatings;
O Accidental Spills Of Fuel, Lubricants, And Hydraulic Oil; And
 Effects Of Ground Disturbing Activities"
NA,365,NA
