Technology,Management_Measure_Category,Project_Phase,Stressor,Receptor,Specific_Receptor,Interaction,Specific_Management_Measures,Implications_of_Measure,Comments_on_Past_Experience,Cost_of_Management_Measure,When_Is_It_Needed,Advantages,Challenges,Project_Documents,Project_Sites
"Wave, Tidal",Design feature,"Installation, Operation & Maintenance, Decommissioning",Displacement,Marine Mammals,NA,Potential displacement of essential activities due to the presence of devices and associated moorings/support structures.,Array/mooring configuration designed to avoid migratory routes or other important sites.,NA,NA,NA,NA,Minimizes risk of development creating displacement by avoiding migratory routes or other important sites.,"May be inconsistent with optimal layout of the development for exploitation of the energy source.
Can be a costly measure when scaling up to larger arrays.","Oyster 2 Wave Energy Project Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement","Oyster 800 at EMEC, Strangford Lough - MCT (SeaGen)"
"Wave, Tidal",Monitoring,"Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Reptiles,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Monitoring and reporting of MNNS.,Reduces/removes risk of transfer of non-native species.,NA,NA,Needed to comply with all relevant guidelines and regulations.,Reduces/removes risk of transfer of non-native species.,NA,NA,NA
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Fish,Demersal fish,Impacts of electromagnetic fields from landfall cables on sensitive species.,Lay cables in natural crevices.,NA,NA,NA,NA,NA,NA,MeyGen Tidal Energy Project Phase 1: Environmental Statement,MeyGen Tidal Energy Project - Phase I
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Displacement,Habitat,NA,Potential displacement of essential activities due to the presence of devices and associated moorings/support structures.,Timing of installation and decommissioning & marine operations to avoid times of particular sensitivity (e.g. breeding).,NA,NA,NA,NA,Minimizes  risk of development causing displacement by avoiding works during sensitive times,Can be disruptive and hence costly to developer,"Environmental Scoping Report: Brims Tidal Array, Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement, EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, Ness of Duncansby Scoping Report, The Kyle Rhea Tidal Stream Array: Environmental Statement, Environmental Scoping Report Westray South Tidal Array, Proposed Marwick Head Wave Farm Request for a Scoping Opinion, Fairhead Tidal Environmental Impact Assessment Scoping Document, Lashy Sound Tidal Array Scoping Report, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Environmental Assessment for Hydropower License: PacWave South Project, Proposed Torr Head Tidal Scheme Environmental Scoping Report","Brims Tidal Array, Wello Penguin at EMEC, EMEC Fall of Warness Grid-Connected Tidal Test Site, Ness of Duncansby Tidal Array, Kyle Rhea Tidal Stream Array Project, Westray South Tidal Project, Fair Head Tidal Array, Galway Bay Test Site, PacWave South Test Site, Torr Head Project"
Tidal,Monitoring,Operation & Maintenance,Changes in water flow,Benthic,NA,The potential wider or secondary effects on protected or sensitive sub-littoral seabed due to removal or alteration of energy flow arising from devices and moorings or support structures.,Installation of ADCPs and turbulence sensors to better understand the baseline tidal flow conditions and hence the change in tidal flow due to presence of the device(s).,NA,NA,NA,NA,Reduce scientific uncertainty.,NA,"Ramsey Sound Tidal Energy Limited Scoping Report, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd","Ramsey Sound, Tocardo InToTidal at EMEC"
"Wave, Tidal",Design feature,Operation & Maintenance,Collision risk,Fish,NA,Pontential risk of collision with device giving size and character of structure,"Device components (e.g., transformer and power conditioning equipment) are designed internally.",Reduces potential for collision with external moving parts,West Islay Tidal Energy Park: Environmental Statement;Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement,New measure,NA,Reduces potential for collision with external moving parts.,NA,"Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report","Wello Penguin at EMEC, Galway Bay Test Site"
"Wave, Tidal",Mitigation,Decommissioning,Vessel disturbance,Marine Mammals,"Cetaceans, seals",Potential for disturbance from project vessels.,"Limit use of vessels, e.g. one vessel present with regular use of thrusters to maintain position.",Reduces potential disturbance effects,European Marine Energy Centre (EMEC) Decommissioning Programme,New measure,NA,Reduces potential disturbance effects.,NA,"European Marine Energy Centre (EMEC) Decommissioning Programme, MeyGen Tidal Energy Project Phase 1: Environmental Statement","Atlantis Resources Corporation at EMEC, MeyGen Tidal Energy Project - Phase I"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Fish,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Establish and implement a Biofouling Management Plan.,Reduce/removes risk of transfer of non-native species.,NA,NA,NA,Reduce/remove risk of transfer of non-native species.,Lack of industry specific guidance.,EMEC Fall of Warness Test Site: Environmental Appraisal,EMEC Fall of Warness Grid-Connected Tidal Test Site
Tidal,Design feature,Operation & Maintenance,Changes in water flow,Marine Mammals,NA,The potential wider or secondary effects on protected or sensitive sub-littoral seabed due to removal or alteration of energy flow arising from devices and moorings or support structures.,Design structures to minimise effect on turbulence structure.,NA,NA,NA,NA,Minimizes change in turbulence structure and hence potential interaction.,"Can present financial, logistical, or design challenges to technology developer to alter design of device/moorings.","Oyster 2 Wave Energy Project Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement, Ramsey Sound Tidal Energy Limited Scoping Report","Oyster 800 at EMEC, Strangford Lough - MCT (SeaGen), Ramsey Sound"
"Wave, Tidal",Design feature,"Installation, Decommissioning",Habitat Loss,Benthic,"Benthic invertebrates, demersal fish",Direct loss of protected or sensitive sub-littoral seabed communities due to the presence of devices and associated moorings or support structures on the seabed.,Cable protection management measures to ensure that any rock placement that is required will be kept to a minimum to reduce seabed disturbance.,This could reduce effects on sensitive habitats.,NA,NA,NA,Could reduce effects on sensitive habitats.,Additional cost.,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, West Orkney South Wave Energy Site Environmental Scoping Report, Oyster 2 Wave Energy Project Environmental Statement","EMEC Fall of Warness Grid-Connected Tidal Test Site, Oyster 800 at EMEC"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Vessel disturbance,Birds,Birds on water,Potential for disturbance from project vessels.,Do not break up or 'flush' rafts of birds.,"Reduces potential effects and is a relatively low cost measure, however effectiveness of mitigation is unclear. 

Also pertinent to note that the measure is selectively applied to project vessels in context of other vessel operations.","Difficult to regulate and movements of animals can't be controlled. However, is commonly used in the industry with apparent success.",NA,During vessel transits to and from site.,"Reduces potential effects.
Relatively low-cost measure.","Effectiveness of mitigation unclear. 
Pertinent to note that the measure is selectively applied to project vessels in context of other vessel operations.","Scapa Flow Scale Test Site Gravity Base Anchors: Marine Licence Application - Supporting Document, Magallanes ATIR: Project Environmental Monitoring Plan, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd, Orbital O2 Environmental Monitoring Programme","EMEC Scapa Flow Scale Wave Test Site, Magallanes Renovables ATIR at EMEC, Tocardo InToTidal at EMEC"
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Marine Mammals,NA,Impacts of electromagnetic fields from landfall cables on sensitive species.,Bury cables where possible and viable.,NA,NA,NA,NA,NA,NA,Fairhead Tidal Environmental Impact Assessment Scoping Document,Fair Head Tidal Array
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Fish,Demersal fish,Impacts of electromagnetic fields from landfall cables on sensitive species.,Maximise length of any drilled boreholes.,NA,NA,NA,NA,NA,NA,MeyGen Tidal Energy Project Phase 1: Environmental Statement,MeyGen Tidal Energy Project - Phase I
"Wave, Tidal",Design feature,"Installation, Operation & Maintenance, Decommissioning",Displacement,Habitat,NA,Potential displacement of essential activities due to the presence of devices and associated moorings/support structures.,Array/ mooring configuration designed to avoid migratory routes or other important sites.,NA,NA,NA,NA,Minimizes risk of development creating displacement by avoiding migratory routes or other important sites,"May be inconsistent with optimal layout of the development for exploitation of the energy source.
Can be a costly measure when scaling up to larger arrays.","Oyster 2 Wave Energy Project Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement","Oyster 800 at EMEC, Strangford Lough - MCT (SeaGen)"
Tidal,Design feature,Operation & Maintenance,Changes in water flow,Benthic,NA,The potential wider or secondary effects on protected or sensitive sub-littoral seabed due to removal or alteration of energy flow arising from devices and moorings or support structures.,Design structures to minimise effect on turbulence structure.,NA,NA,NA,NA,Minimises change in turbulence structure and hence potential interaction.,Can present financial/ logistical/ design challenges to technology developer to alter design of device/ moorings,"Oyster 2 Wave Energy Project Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement, Ramsey Sound Tidal Energy Limited Scoping Report","Oyster 800 at EMEC, Strangford Lough - MCT (SeaGen), Ramsey Sound"
"Wave, Tidal",Monitoring,Installation,Collision risk,Birds,NA,"Potential barrier to movement due to the physical presence of devices and associated moorings/support structures, cables and electrical equipment.",Array instalation carried out in phases.,Allows close monitoring to observe any unexpected effects,NA,NA,NA,Allows close monitoring to observe any unexpected effects.,NA,GSK Montrose Swan Turbines Environmental Statement Non-Technical Summary,GSK Montrose Tidal Array
"Wave, Tidal",Mitigation,Decommissioning,Vessel disturbance,Marine Mammals,"Cetaceans, seals",Potential for disturbance from project vessels.,Avoid sudden changes of speed.,Reduces likelihood of any further disturbance to cetaceans in the vicinity,NA,NA,NA,Reduces likelihood of any further disturbance to marine animals in the vicinity.,NA,Orbital O2 Environmental Monitoring Programme,NA
"Wave, Tidal","Mitigation, Compliance","Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Fish,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduce/removes risk of transfer of non-native species.,NA,NA,NA,Reduce/remove risk of transfer of non-native species.,NA,Atlantic Marine Energy Test Site Environmental Impact Statement,Atlantic Marine Energy Test Site (AMETS)
Tidal,Design feature,Operation & Maintenance,Changes in water flow,Marine Mammals,NA,Modifications to prey distribution and abundance (to include for other receptors) resulting in changes to foraging behaviour.,Design structures to minimise effect on turbulence structure.,NA,NA,NA,NA,Minimizeschange in turbulence structure and hence potential interaction.,"Can present financial, logistical, or design challenges to technology developer to alter design of device/moorings.","Ramsey Sound Tidal Energy Limited Scoping Report, Oyster 2 Wave Energy Project Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement","Ramsey Sound, Oyster 800 at EMEC, Strangford Lough - MCT (SeaGen)"
"Wave, Tidal",Mitigation,"Installation, Decommissioning",Habitat Loss,Benthic,"Benthic invertebrates, demersal fish",Direct loss of protected or sensitive sub-littoral seabed communities due to the presence of devices and associated moorings or support structures on the seabed.,"Use of locally sourced materials, for cable protection, of the same type as the habitat to be disturbed by cable installation.",Minimize impact on biodiversity/ecosystem.,NA,NA,As far as technical and economic considerations permit.,Minimize impact on biodiversity/ecosystem - lost seabed is replaced with same material and minimizes habitat loss.,NA,Swansea Bay Environmental Statement: Chapter 23 Mitigation and Monitoring,Swansea Bay Tidal Lagoon (SBTL)
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Vessel disturbance,Birds,Birds on water,Potential for disturbance from project vessels.,Adhere to minimum approach distances for vessels on approach.,"Reduces potential effects and is a relatively low cost measure, however effectiveness of mitigation is unclear. Can increase the time of operational procedures and thus increase cost.

Further monitoring, e.g. defining of approach distances and then comparing these to see which are most effective would validate the efficacy of the measure.","Difficult to regulate and movements of animals can't be controlled. However, is commonly used in the industry with apparent success.",NA,During vessel transits to and from site.,"Reduces potential effects.
Relatively low-cost measure.","Effectiveness of mitigation is unclear. Further monitoring (e.g., defining of approach distances and then comparing these to see which are most effective) would validate the efficacy of the measure.
Can increase the time of operational procedures and thus increase cost.","EMEC Billia Croo Test Site: Environmental Appraisal, Scapa Flow Scale Test Site Gravity Base Anchors: Marine Licence Application - Supporting Document, Fair Head Tidal Energy Park Environmental Statement, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd, Environmental Assessment for Hydropower License: PacWave South Project","EMEC Billia Croo Grid-Connected Wave Test Site, EMEC Scapa Flow Scale Wave Test Site, Fair Head Tidal Array, Tocardo InToTidal at EMEC, PacWave South Test Site"
"Wave, Tidal",Design feature,Operation & Maintenance,Entanglement,Marine Mammals,Cetaceans,Potential for marine animals to become entangled in device mooring lines and cables.,Maintain taut mooring lines.,"Removes/reduces risk of entanglement, however mooring design tends to be driven by technical and commercial consideration. An entanglement record is a useful way to track events.",NA,NA,When technical considerations permit.,"Remove/reduce risk of entanglement.
Regular inspections can provide operational insight into condition.
Inspections help track interactions/events with marine animals.","Mooring design driven by technical and commercial consideration.
Regular ROV/dive or drop-down camera inspections required.","Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement, Deployment of a Shallow Water Wave Energy Converter at the EMEC Billia Croo Test Site: Environmental Report and Project-specific Environmental Monitoring Plan, Environmental Assessment for Hydropower License: PacWave South Project","Wello Penguin at EMEC, EMEC Billia Croo Grid-Connected Wave Test Site, PacWave South Test Site"
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Fish,Demersal fish,Impacts of electromagnetic fields from landfall cables on sensitive species.,Strategic use of rock placement/other cable protection.,NA,NA,NA,NA,NA,NA,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, Scotrenewables Tidal Power Ltd SR250 Deployment Fall of Warness: Environmental Statement Volume I - Environmental Statement, MeyGen Tidal Energy Project Phase 1: Environmental Statement, Sound of Islay Environmental Statement, West Islay Tidal Energy Park: Environmental Statement, Environmental Assessment for Hydropower License: PacWave South Project","EMEC Fall of Warness Grid-Connected Tidal Test Site, MeyGen Tidal Energy Project - Phase I, Sound of Islay Demonstration Tidal Array, West Islay Tidal Project Energy Park, PacWave South Test Site"
Wave,None identified,Operation & Maintenance,Dissipation of wave energy,Habitat,Benthic invertebrates,"The potential wider or secondary effects (siltation changes or smothering) on protected or sensitive littoral habitat due to devices and associated moorings, support structures or landfall cables.","Benthic and intertidal surveys focused on indicator species, species assemblage, community structure and ecosystem function.",NA,NA,NA,NA,NA,NA,"Billia Croo Test Site: Environmental Statement, Shapinsay Sound Scale Site: Environmental Description, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, ScottishPower Renewables Proposed Orcadian Wave Project Preliminary Decommissioning Plan, Siadar Wave Energy Project Scoping Report","EMEC Billia Croo Grid-Connected Wave Test Site, EMEC Shapinsay Sound Scale Tidal Test Site, Galway Bay Test Site, Pelamis Wave Power P2 Demonstration at EMEC"
Tidal,Monitoring,Operation & Maintenance,Changes in water flow,Benthic,NA,The potential wider or secondary effects on protected or sensitive sub-littoral seabed due to removal or alteration of energy flow arising from devices and moorings or support structures.,"Modelling to predict the interaction between changes in tidal flow, flux and turbulence structure and animals.",NA,NA,NA,NA,Reduces scientific uncertainty so appropriate management measures can be employed.,Limited management measures available to minimise interaction despite modelling to fully predict interaction,NA,NA
Tidal,Mitigation,Operation & Maintenance,Collision risk,Birds,Diving birds,Potential for collision with turbine blades.,Reduce maximum blade tip speed.,NA,NA,NA,NA,Could reduce the likelihood or consequence of potential collision events.,"Potential impacts on power production.
Control mechanism of turbine blade speed unclear. 
May cause increased fatigue.",NA,NA
"Wave, Tidal",Design feature,Installation,Barrier to movement,Reptiles,NA,"Potential barrier to movement due to the physical presence of devices and associated moorings/support structures, cables and electrical equipment.",Site selection to avoid sensitive routes/areas.,NA,NA,NA,NA,Minimizes risk of development acting as a barrier to movement by avoiding migratory routes or other important sites.,NA,NA,NA
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Fish,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Source vessels locally.,Reduce/removes risk of transfer of non-native species.,NA,NA,NA,Reduce/remove risk of transfer and settlement of non-native species.,NA,"Environmental Monitoring and Mitigation Plan: Shetland Tidal Array, Bluemull Sound","Nova Innovation - Shetland Tidal Array, Mocean Wave Energy Converter: Blue Horizon"
Tidal,Monitoring,Operation & Maintenance,Changes in water flow,Marine Mammals,NA,The potential wider or secondary effects on protected or sensitive sub-littoral seabed due to removal or alteration of energy flow arising from devices and moorings or support structures.,"Modelling to predict the interaction between changes in tidal flow, flux and turbulence structure and animals.",NA,NA,NA,NA,Reduces scientific uncertainty so appropriate management measures can be employed,Limited management measures available to minimize interaction despite modelling to fully predict interaction.,NA,NA
"Wave, Tidal",Design feature,"Installation, Decommissioning",Habitat Loss,Benthic,"Benthic invertebrates, demersal fish",Direct loss of protected or sensitive sub-littoral seabed communities due to the presence of devices and associated moorings or support structures on the seabed.,Site selection to avoid sensitive or protected sub-littoral seabed communities.,NA,NA,NA,NA,This could reduce/remove effects on sensitive habitats.,NA,"Lashy Sound Tidal Array Scoping Report, Ness of Duncansby Scoping Report",Ness of Duncansby Tidal Array
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Vessel disturbance,Birds,Shore-nesting birds,Potential for disturbance from project vessels.,Avoidance of sensitive shore nesting areas during sensitive periods with appropriate clearance distance.,Reduces potential effects and is a relatively low cost measure.,NA,"Can incur significant cost, particularly for large projects. If routes can be defined at an early stage they can be absorbed more easily.",During vessel transits to and from site.,"Reduces potential effects.
Relatively low-cost measure.",NA,"Environmental Scoping Report: Brims Tidal Array, Lashy Sound Tidal Array Scoping Report, EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, EMEC Billia Croo Test Site: Environmental Appraisal, Magallanes ATIR: Project Environmental Monitoring Plan, The Kyle Rhea Tidal Stream Array: Environmental Statement, Proposed Marwick Head Wave Farm Request for a Scoping Opinion, Lashy Sound Tidal Array Scoping Report, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Proposed Torr Head Tidal Scheme Environmental Scoping Report, Orbital O2 Environmental Monitoring Programme","Brims Tidal Array, EMEC Fall of Warness Grid-Connected Tidal Test Site, EMEC Billia Croo Grid-Connected Wave Test Site, Magallanes Renovables ATIR at EMEC, Kyle Rhea Tidal Stream Array Project, Tocardo InToTidal at EMEC, Galway Bay Test Site, Torr Head Project"
"Wave, Tidal",Design feature,Operation & Maintenance,Entanglement,Marine Mammals,Cetaceans,Potential for marine animals to become entangled in device mooring lines and cables.,Cable design with maximum bend radius.,"Removes/reduces risk of entanglement, however cable design tends to be driven by technical and commercial consideration.",NA,NA,When technical considerations permit.,Remove/reduce risk of entanglement.,Mooring design driven by technical and commercial consideration.,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement",EMEC Fall of Warness Grid-Connected Tidal Test Site
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Fish,Demersal fish,Impacts of electromagnetic fields from landfall cables on sensitive species.,Bundle cables together to reduce field vectors.,NA,NA,NA,NA,NA,NA,MeyGen Tidal Energy Project Phase 1: Environmental Statement,MeyGen Tidal Energy Project - Phase I
Wave,Monitoring,Operation & Maintenance,Dissipation of wave energy,Habitat,Benthic invertebrates,The potential wider or secondary effects on protected or sensitive sub-littoral seabed due to removal or alteration of energy flow arising from devices and moorings or support structures.,"Benthic and intertidal surveys focused on indicator species, species assemblage, community structure and ecosystem function.","Would result in a reduction of scientific uncertainty around the interaction, however determining impacts against natural variability may be difficult.",NA,NA,When there are sensitive species or habitats identified as being present at the project site.,Reduce scientific uncertainty.,Determining impacts against natural variability may be difficult.,"Billia Croo Test Site: Environmental Statement, Shapinsay Sound Scale Site: Environmental Description, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, ScottishPower Renewables Proposed Orcadian Wave Project Preliminary Decommissioning Plan, Siadar Wave Energy Project Scoping Report","EMEC Billia Croo Grid-Connected Wave Test Site, EMEC Shapinsay Sound Scale Tidal Test Site, Galway Bay Test Site, Pelamis Wave Power P2 Demonstration at EMEC"
Tidal,Design feature,Operation & Maintenance,Changes in water flow,Benthic,NA,The potential wider or secondary effects on protected or sensitive sub-littoral seabed due to removal or alteration of energy flow arising from devices and moorings or support structures.,Site selection.,NA,NA,NA,NA,Minimises significance of interaction.,NA,Ness of Duncansby Scoping Report,Ness of Duncansby Tidal Array
Tidal,Mitigation,Operation & Maintenance,Collision risk,Birds,Diving birds,Potential for collision with turbine blades.,Design proportion of swept area to structure area to minimise collision risk.,NA,NA,NA,NA,This could reduce the likelihood/consequence of potential collision events.,"Can be a high cost associated with this.
Can present financial/ logistical/ design challenges to technology developer to alter design of device.",MeyGen Tidal Energy Project Phase 1: Environmental Statement,MeyGen Tidal Energy Project - Phase I
"Wave, Tidal",Design feature,Installation,Barrier to movement,Reptiles,NA,"Potential barrier to movement due to the physical presence of devices and associated moorings/support structures, cables and electrical equipment.",Array/mooring configuration designed to avoid migratory routes or other important sites.,NA,NA,NA,NA,Minimizes risk of development acting as a barrier to movement by avoiding migratory routes or other important sites.,"May be inconsistent with optimal layout of the development for exploitation of the energy source.
Can be a costly measure when scaling up to larger arrays.","Oyster 2 Wave Energy Project Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement","Oyster 800 at EMEC, Strangford Lough - MCT (SeaGen)"
"Wave, Tidal",Monitoring,"Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Fish,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Monitoring and reporting of MNNS.,Reduces/removes risk of transfer of non-native species.,NA,NA,Needed to comply with all relevant guidelines and regulations.,Reduces/removes risk of transfer of non-native species.,NA,NA,PLAT-O at EMEC
Tidal,Monitoring,Operation & Maintenance,Changes in water flow,Marine Mammals,NA,Modifications to prey distribution and abundance (to include for other receptors) resulting in changes to foraging behaviour.,"Modelling to predict the interaction between changes in tidal flow, flux and turbulence structure and animals.",NA,NA,NA,NA,Reduces scientific uncertainty so appropriate management measures can be employed,Limited management measures available to minimize interaction despite modelling to fully predict interaction.,NA,NA
"Wave, Tidal",Mitigation,"Installation, Decommissioning",Habitat Loss,Benthic,"Benthic invertebrates, demersal fish","Seabed habitat disturbance/loss or changes to
seabed habitat",Adherence to vessel anchor and device anchor/mooring plans.,Minimize impact on biodiversity/ ecosystem.,NA,NA,NA,Minimize impact on biodiversity/ecosystem.,NA,"EMEC Billia Croo Test Site: Environmental Appraisal, Environmental Assessment for Hydropower License: PacWave South Project","EMEC Billia Croo Grid-Connected Wave Test Site, PacWave South Test Site"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Vessel disturbance,Birds,Birds on water,Potential for disturbance from project vessels.,Vessel transit route: defining routes to avoid sensitive sites and to only disturb one route.,Reduces potential effects and is a relatively low cost measure.,NA,"Can incur significant cost, particularly for large projects. If routes can be defined at an early stage they can be absorbed more easily.",During vessel transits to and from site.,"Reduces potential effects.
Relatively low-cost measure.
This is measurable and definable.",NA,"Environmental Scoping Report: Brims Tidal Array, West Islay Tidal Energy Park: Environmental Statement, Scapa Flow Scale Test Site Gravity Base Anchors: Marine Licence Application - Supporting Document, The Kyle Rhea Tidal Stream Array: Environmental Statement, Environmental Scoping Report Westray South Tidal Array, AK-1000 Environmental Monitoring Programme, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd, Strangford Lough Marine Current Turbine: Environmental Statement, Orbital O2 Environmental Monitoring Programme","Brims Tidal Array, West Islay Tidal Project Energy Park, EMEC Scapa Flow Scale Wave Test Site, Kyle Rhea Tidal Stream Array Project, Westray South Tidal Project, Atlantis Resources Corporation at EMEC, Tocardo InToTidal at EMEC, Strangford Lough - MCT (SeaGen)"
"Wave, Tidal","Design feature, Monitoring",Operation & Maintenance,Entanglement,Marine Mammals,Cetaceans,Potential for marine animals to become entangled in device mooring lines and cables.,Install tension sensors on mooring lines.,"Informs of problem with mooring lines allowing rectification, however this comes at an additional cost and control system integration requirement.",These types of sensors liable to malfunction. Questions over whether they could detect a collision event.,Moderate,When sensitive species are known to occur at the site (e.g. very large whales) and when technical and economic considerations permit.,Informs of problem with mooring lines allowing rectification.,"Additional cost and control system integration requirement.
Load from entangled animal is likely to be smaller than the device loading on the moorings. 
Uncertainty of the efficacy of this measure.",Deployment of a Shallow Water Wave Energy Converter at the EMEC Billia Croo Test Site: Environmental Report and Project-specific Environmental Monitoring Plan,EMEC Billia Croo Grid-Connected Wave Test Site
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Fish,Demersal fish,Impacts of electromagnetic fields from landfall cables on sensitive species.,Bury cables where possible and viable.,NA,NA,NA,NA,NA,NA,"Atlantic Marine Energy Test Site Environmental Impact Statement, Swansea Bay Environmental Statement: Chapter 23 Mitigation and Monitoring, Environmental Assessment for Hydropower License: PacWave South Project","Atlantic Marine Energy Test Site (AMETS), Swansea Bay Tidal Lagoon (SBTL), PacWave South Test Site"
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Habitat,Benthic invertebrates,Impacts of electromagnetic fields from subsea cables on sensitive species.,"Install cable protection, armor, rock placement, or other cable protection.","Reduces the level of EMF to surrounding water column and therefore any potential effects. 

Reduces 'snagging risk' for vessels and may create habitat for species.

May have Habitat Creation implications

Potential for adverse impacts on surrounding benthic habitats and sensitive species, e.g. from smothering.

This measure forms part of normal project design.",No additional cost,Minimal,This measure is implemented as part of normal project design and is particularly relevant where cables are vulnerable to snagging by fishing vessels or anchor strikes.,"Reduce the level of EMF to surrounding water column and therefore any potential effects.
Reduces 'snagging risk' for vessels.
Creation of artificial habitat leading to greater fecundity in species.","May have an impact on surrounding benthic habitats and sensitive species.
Creation of artificial habitat may cause aggregation effect causing greater impact of EMF.
Uncertainty  around the need for and efficacy of this measure.
Increased cost to project.
Reduced possibilities for decommissioning in future.
Direct disturbance/loss of benthic communities.","EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, Scotrenewables Tidal Power Ltd SR250 Deployment Fall of Warness: Environmental Statement Volume I - Environmental Statement, MeyGen Tidal Energy Project Phase 1: Environmental Statement, Sound of Islay Environmental Statement, West Islay Tidal Energy Park: Environmental Statement","EMEC Fall of Warness Grid-Connected Tidal Test Site, MeyGen Tidal Energy Project - Phase I, Sound of Islay Demonstration Tidal Array, West Islay Tidal Project Energy Park"
"Wave, Tidal",Design feature,"Installation, Operation & Maintenance, Decommissioning",Contamination,Benthic,NA,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Physical Containment systems including bulk heads, closed circuit systems, pressure relief systems.",Reduces risk of contamination escaping from structure.,NA,NA,NA,Reduces risk of contamination/pollution escaping from structure.,NA,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, MeyGen Tidal Energy Project Phase 1: Environmental Statement, The Kyle Rhea Tidal Stream Array: Environmental Statement, Magallanes ATIR: Project Environmental Monitoring Plan, Atlantic Marine Energy Test Site Environmental Impact Statement, Swansea Bay Environmental Statement: Chapter 23 Mitigation and Monitoring, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Oyster 2 Wave Energy Project Environmental Statement","EMEC Fall of Warness Grid-Connected Tidal Test Site, MeyGen Tidal Energy Project - Phase I, Kyle Rhea Tidal Stream Array Project, Magallanes Renovables ATIR at EMEC, Atlantic Marine Energy Test Site (AMETS), Swansea Bay Tidal Lagoon (SBTL), Galway Bay Test Site, Oyster 800 at EMEC"
